Compute,Model,Optimizer,Accuracy,Time_ms,FLOPs
CPU,resnet18,SGD,85.23571428571428,2375154.9348831177,550612992.0
CPU,resnet18,Adam,86.64285714285714,2490041.8612957,550612992.0
CPU,resnet50,SGD,75.67857142857143,7331745.046377182,1279750144.0
CPU,resnet50,Adam,71.66428571428571,5610818.333387375,1279750144.0
CUDA,resnet18,SGD,85.59285714285714,59971.05693817139,550612992.0
CUDA,resnet18,Adam,83.16428571428571,65525.829553604126,550612992.0
CUDA,resnet50,SGD,76.4,120672.57905006409,1279750144.0
CUDA,resnet50,Adam,59.84285714285714,125993.52049827576,1279750144.0
