Dataset,Kernel,C_Value,Accuracy,Time_ms
MNIST,poly,0.1,97.94285714285714,304318.75944137573
MNIST,poly,1.0,97.93571428571428,311359.05742645264
MNIST,rbf,0.1,97.76428571428572,430279.3929576874
MNIST,rbf,1.0,97.76428571428572,442295.97091674805
FashionMNIST,poly,0.1,89.85714285714286,539209.536075592
FashionMNIST,poly,1.0,89.85714285714286,525828.8772106171
FashionMNIST,rbf,0.1,89.16428571428571,572402.7733802795
FashionMNIST,rbf,1.0,89.16428571428571,585601.0410785675
