Compute,Model,Optimizer,Accuracy,Time_ms,FLOPs
CUDA,resnet32,SGD,83.7,71131.2198638916,1138413568.0
CUDA,resnet32,Adam,85.50714285714285,78050.1537322998,1138413568.0
CPU,resnet32,SGD,82.86428571428571,4281590.861320496,1138413568.0
CPU,resnet32,Adam,83.56428571428572,4484396.959781647,1138413568.0
